The dominant paper in our nation's capital, it's among the top 10 U.S. papers in circulation	The Washington Post	Star Tribune	Los Angeles Times	Al-Quds Al-Arabi	The Age	London Evening Standard	The Wall Street Journal	Houston Chronicle	Svenska Dagbladet	New York Press	List of newspapers in Hong Kong	
The practice of pre-authorizing presidential use of force dates to a 1955 resolution re: this island near mainland China	Taiwan	United Nations General Assembly Resolution 505	Taiwan	One-China policy	United Nations Security Council Resolution 940	History of the Republic of China	Kinmen	Taiwanization	United Nations Security Council Resolution 1441	United Nations Security Council Resolution 348	Alternative dispute resolution	
Daniel Hertzberg & James B. Stewart of this paper shared a 1988 Pulitzer for their stories about insider trading	The Wall Street Journal	The Wall Street Journal	The Atlanta Journal-Constitution	The Baltimore Sun	The Hutchinson News	The Washington Post	Los Angeles Times	Harry Carr	Hedrick Smith	New York Post	Star Tribune	
Song that says, "you make me smile with my heart; your looks are laughable, unphotographable"	My Funny Valentine	Lyrics	Hello, Hawaii, How Are You?	Bess, You Is My Woman Now	Chest Fever	Your Arms Too Short to Box with God	Melt (Rascal Flatts album)	Rêver	Goodness Gracious Me (song)	The Color Purple (musical)	Simple Simon (musical)	
In 2011 bell ringers for this charity started accepting digital donations to its red kettle	The Salvation Army | Salvation Army	The Salvation Army	Change ringing	Aloysius Society	Mikael Tariverdiev	Capital (radio network)	Campanology	GiveWell	Pride London	Brita	Donation	
The Naples Museum of Art	Florida	Metropolitan Museum of Art	Terra Museum	Rijksmuseum	Tate	Museum of Contemporary Art, Chicago	Museum of Performance & Design	Art museum	The Louvre	Walker Art Center	Appleton Museum of Art	
This Italian painter depicted the "Adoration of the Golden Calf"	Tintoretto	Nicolas Poussin	Antonio Marini di Prato	Francesco di Vannuccio	Sisto Badalocchio	Raffaello Gambogi	Vecchietta	Antonello da Messina	Giuseppe Bazzani	Ambrogio Lorenzetti	Themes in Italian Renaissance painting	
This woman who won consecutive heptathlons at the Olympics went to UCLA on a basketball scholarship	Jackie Joyner-Kersee	Jackie Joyner-Kersee	Lyudmyla Blonska	Kevin Love	Wilma Rudolph	Maria Mutola	George Stanich	Nataliya Dobrynska	Kareem Abdul-Jabbar	Gunnar Nixon	George Wilson (basketball, born 1942)	
Originally this club's emblem was a wagon wheel; now it's a gearwheel with 24 cogs & 6 spokes	Rotary International	De Poelen, Dronrijp	De Mearmin, Dokkum	Chevrolet Celebrity	Hammer and sickle	Spoke	Holden Gemini	Emblem of Angola	Wheel	Leyland P76	AMC Matador	
Several bridges, including El Tahrir, cross the Nile in this capital	Cairo	Cairo	Khartoum	Kosti, Sudan	Nile	Maracaibo	Ciudad Bolívar	Omdurman	Faiyum Oasis	Pan-American Highway (North America)	Crossing the Red Sea	
After the fall of France in 1940, this general told his country, "France has lost a battle. But France has not lost the war"	Charles de Gaulle | de Gaulle	Free French Forces	Philippe Pétain	Anglo-French Supreme War Council	Alexandrine of Mecklenburg-Schwerin	Munich Agreement	Operation Felix	Friedrich Paulus	Operation Ariel	Saint-John Perse	Hubert Lyautey	
The Taft Museum of Art	Ohio	Metropolitan Museum of Art	Terra Museum	Rijksmuseum	Tate	Museum of Contemporary Art, Chicago	Museum of Performance & Design	Art museum	The Louvre	Walker Art Center	Appleton Museum of Art	
